object_type,function_name,signature_text
Wire,-------- Wire --------,Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Wire,ComputedMinAngle,Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Wire,ComputedMinBendRadius,Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Wire,FromTo,Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Wire,-------- Product --------,Sl hi BS WDA Ls 7 eS BRD & [mers JO einen eccccer @
Wire,CreateConstraint,"Product-»CreateConstraint (name: String, type: String, element: ObjectType, ..): UndefinedType Package: CATPackageGenerativeKnowledge = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Wire,CreatePathString,"7 Product->CreatePathString {instance: Feature, element: ObjectType): String Package: CATPackageGenerativeKnowledge | | — oe Al >'@O Leh 7 aS RD 8 leases com @ & &] fey 074 RS [OO (< ofa 4 7 ee a 3S S| Geometrical Set.1 O Define In Were Cbiect [OO"
Wire,CreatePublication,"Product-»CreatePublication (instance: Product, published element: Objectlype, name: String): String Package: CATPackageGenerativeKnowledge = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Wire,DefineInterferenceComputation,"DefineinterferenceComputation (p1: Product, p2: Product, TypCakc: String, ClearVal: Length, NameShape!: String, NameShape2: String, totoRule: Expert Rule): Boolean Package: SpalTFCheckMethod = ] \ ] SiN 2 . > - a | &] fey 074 RS [OO aH ofa m3 ia | 7 a Ge ee = rim) S| Geometrical Set.1 | O Define In werk Coiect [OO"
Wire,DistanceMin,"7 DistanceMin (p1: Product, p2: Product, ...): Length Package: SpaFunctionsPackage = ] y s . Pe m2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @"
Wire,GetLocation,"7 Product-»GetLocation (out Real, out Real, out Real): Boolean Package: ProductFunctionsPackage = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Wire,HasARepresentation,7 Product->HasARepresentation (String): Boolean Package: ProductFunctionsPackage = ] y o . a om a Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
